Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Sales
12017.0,2024-01-01,CUST312,Male,47.0,Electronics,2.0,277.0,554.0,
56391.0,2024-01-01,CUST417,Male,22.0,Groceries,3.0,267.0,801.0,
41752.0,2024-01-01,CUST262,Female,43.0,Beauty,4.0,126.0,504.0,
51416.0,2024-01-01,CUST717,Male,48.0,Groceries,3.0,400.0,1200.0,
22498.0,2024-01-01,CUST257,Male,29.0,Beauty,2.0,182.0,364.0,
11695.0,2024-01-01,CUST793,Male,20.0,Beauty,2.0,492.0,984.0,
39182.0,2024-01-01,CUST504,Female,38.0,Beauty,2.0,108.0,216.0,
37960.0,2024-01-01,CUST389,Female,53.0,Groceries,2.0,366.0,732.0,
42825.0,2024-01-01,CUST264,Male,60.0,Clothing,1.0,220.0,220.0,
42273.0,2024-01-01,CUST486,Female,53.0,Clothing,4.0,111.0,444.0,
77640.0,2024-01-01,CUST251,Female,46.0,Beauty,4.0,332.0,1328.0,
87538.0,2024-01-01,CUST946,Male,53.0,Beauty,4.0,488.0,1952.0,
68799.0,2024-01-02,CUST137,Male,28.0,Electronics,2.0,95.0,190.0,
80982.0,2024-01-02,CUST428,Female,48.0,Electronics,2.0,310.0,620.0,
58266.0,2024-01-02,CUST622,Female,19.0,Electronics,2.0,354.0,708.0,
83676.0,2024-01-02,CUST954,Female,49.0,Groceries,4.0,62.0,248.0,
48826.0,2024-01-02,CUST208,Female,60.0,Groceries,2.0,409.0,818.0,
14830.0,2024-01-02,CUST744,Male,44.0,Beauty,3.0,102.0,306.0,
96582.0,2024-01-02,CUST878,Female,35.0,Groceries,3.0,217.0,651.0,
61138.0,2024-01-02,CUST727,Female,49.0,Furniture,2.0,401.0,802.0,
63098.0,2024-01-02,CUST444,Female,34.0,Groceries,3.0,111.0,333.0,
35064.0,2024-01-02,CUST460,Female,37.0,Furniture,2.0,148.0,296.0,
73829.0,2024-01-02,CUST179,Male,47.0,Electronics,1.0,117.0,117.0,
99407.0,2024-01-02,CUST183,Male,48.0,Clothing,3.0,147.0,441.0,
90764.0,2024-01-02,CUST368,Male,50.0,Clothing,1.0,399.0,399.0,
49153.0,2024-01-02,CUST101,Female,52.0,Clothing,2.0,371.0,742.0,
99336.0,2024-01-03,CUST448,Female,26.0,Groceries,4.0,283.0,1132.0,
36230.0,2024-01-03,CUST397,Male,48.0,Furniture,4.0,95.0,380.0,
87340.0,2024-01-03,CUST276,Male,20.0,Electronics,4.0,491.0,1964.0,
40382.0,2024-01-03,CUST886,Female,57.0,Beauty,3.0,393.0,1179.0,
85501.0,2024-01-03,CUST134,Male,52.0,Beauty,3.0,348.0,1044.0,
93792.0,2024-01-03,CUST660,Male,35.0,Furniture,3.0,414.0,1242.0,
37846.0,2024-01-03,CUST674,Male,57.0,Clothing,3.0,165.0,495.0,
26670.0,2024-01-03,CUST314,Female,35.0,Beauty,3.0,273.0,819.0,
41558.0,2024-01-03,CUST695,Female,50.0,Electronics,1.0,45.0,45.0,
97310.0,2024-01-03,CUST174,Female,33.0,Furniture,3.0,450.0,1350.0,
68044.0,2024-01-03,CUST324,Female,49.0,Groceries,2.0,461.0,922.0,
77445.0,2024-01-03,CUST424,Female,38.0,Groceries,1.0,100.0,100.0,
78892.0,2024-01-03,CUST463,Male,44.0,Beauty,2.0,462.0,924.0,
62673.0,2024-01-04,CUST119,Female,45.0,Electronics,3.0,497.0,1491.0,
94987.0,2024-01-04,CUST732,Female,54.0,Groceries,1.0,268.0,268.0,
81432.0,2024-01-04,CUST767,Male,24.0,Groceries,4.0,60.0,240.0,
28433.0,2024-01-04,CUST411,Female,31.0,Furniture,4.0,375.0,1500.0,
10638.0,2024-01-04,CUST550,Female,35.0,Furniture,1.0,328.0,328.0,
74544.0,2024-01-04,CUST420,Male,32.0,Clothing,1.0,283.0,283.0,
19926.0,2024-01-04,CUST204,Male,56.0,Electronics,4.0,205.0,820.0,
86128.0,2024-01-04,CUST913,Male,39.0,Clothing,1.0,241.0,241.0,
60792.0,2024-01-04,CUST556,Female,50.0,Groceries,2.0,343.0,686.0,
62322.0,2024-01-04,CUST525,Male,59.0,Beauty,3.0,448.0,1344.0,
80231.0,2024-01-04,CUST289,Female,60.0,Groceries,1.0,205.0,205.0,
34566.0,2024-01-04,CUST625,Male,26.0,Electronics,4.0,418.0,1672.0,
54796.0,2024-01-04,CUST412,Male,19.0,Electronics,2.0,58.0,116.0,
67095.0,2024-01-04,CUST202,Male,27.0,Beauty,4.0,475.0,1900.0,
96155.0,2024-01-04,CUST837,Male,38.0,Groceries,2.0,180.0,360.0,
74073.0,2024-01-05,CUST951,Female,49.0,Clothing,3.0,367.0,1101.0,
11620.0,2024-01-05,CUST625,Female,40.0,Beauty,2.0,101.0,202.0,
78912.0,2024-01-05,CUST796,Male,36.0,Groceries,2.0,105.0,210.0,
86035.0,2024-01-05,CUST451,Male,23.0,Groceries,3.0,367.0,1101.0,
59240.0,2024-01-05,CUST785,Male,63.0,Beauty,4.0,143.0,572.0,
90293.0,2024-01-05,CUST574,Female,36.0,Groceries,2.0,104.0,208.0,
56248.0,2024-01-05,CUST179,Female,55.0,Clothing,3.0,331.0,993.0,
24472.0,2024-01-05,CUST222,Female,34.0,Clothing,2.0,297.0,594.0,
48730.0,2024-01-05,CUST585,Male,51.0,Furniture,2.0,280.0,560.0,
31701.0,2024-01-05,CUST187,Male,60.0,Furniture,1.0,120.0,120.0,
76690.0,2024-01-05,CUST719,Female,57.0,Clothing,4.0,25.0,100.0,
11409.0,2024-01-05,CUST229,Male,19.0,Beauty,1.0,172.0,172.0,
38195.0,2024-01-05,CUST543,Female,33.0,Beauty,3.0,499.0,1497.0,
97737.0,2024-01-05,CUST205,Male,52.0,Furniture,1.0,184.0,184.0,
87290.0,2024-01-05,CUST164,Male,37.0,Clothing,3.0,473.0,1419.0,
92280.0,2024-01-05,CUST655,Male,47.0,Beauty,1.0,52.0,52.0,
54298.0,2024-01-06,CUST618,Male,24.0,Furniture,2.0,80.0,160.0,
62914.0,2024-01-06,CUST220,Female,54.0,Clothing,4.0,125.0,500.0,
29931.0,2024-01-06,CUST603,Female,43.0,Beauty,1.0,446.0,446.0,
36264.0,2024-01-06,CUST161,Male,59.0,Furniture,2.0,13.0,26.0,
16256.0,2024-01-06,CUST327,Male,55.0,Groceries,4.0,294.0,1176.0,
71340.0,2024-01-06,CUST563,Male,38.0,Furniture,4.0,286.0,1144.0,
25926.0,2024-01-07,CUST579,Female,25.0,Clothing,3.0,338.0,1014.0,
35579.0,2024-01-07,CUST498,Female,19.0,Electronics,3.0,177.0,531.0,
17266.0,2024-01-07,CUST426,Female,48.0,Clothing,1.0,330.0,330.0,
89348.0,2024-01-07,CUST237,Female,62.0,Beauty,4.0,340.0,1360.0,
